質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
"※大西さん受けだがSNOWが起動しない不具合が生じている為、代理で入力
昨日はログインできたが、楽楽精算だけが開かない。「申し訳ございません。このサイトに到達できません。」エラー ","リモート接続実施PC名：SN44044801H
ネットワークは接続できている。
NhitsからURLを案内し復旧。",ログイン/PW,ログイン;精算,,その他,0.3,楽楽精算が開かない,"※大西さん受けだがSNOWが起動しない不具合が生じている為、代理で入力
昨日はログインできたが、楽楽精算だけが開かない。「申し訳ございません。このサイトに到達できません。」エラー ","リモート接続実施PC名&#xff1a;SN44044801H
ネットワークは接続できている。
NhitsからURLを案内し復旧。"
※関口さん対応auWiFiで接続中だが、NhitsやOutlookは開けるのに楽楽精算のページのみ「申し訳ございません。ページに到達できません」エラーで開けない。午前中までは開けていた。Global Protectは「接続済み」となっている。,"リモート接続（PC名：SN54057695H）
お気に入りからアクセスされているとのこと。URL：https://rsssldf30y00087.rakurakuseisan.jp/iPm5P5ikPZa/sapTopPage/mainView
サポートデスクPCでアクセスしてみても同じ。
楽楽精算サポート内の楽楽精算の接続先一覧より日本ハムマーケティング様のURLへアクセス　⇒　OKお気に入り登録されているURL情報が誤っていたため登録しなおしていただくようご依頼",ログイン/PW,精算,,その他,0.3,楽楽精算のページが開けない,※関口さん対応auWiFiで接続中だが、NhitsやOutlookは開けるのに楽楽精算のページのみ「申し訳ございません。ページに到達できません」エラーで開けない。午前中までは開けていた。Global Protectは「接続済み」となっている。,"リモート接続&#xff08;PC名&#xff1a;SN54057695H&#xff09;
お気に入りからアクセスされているとのこと。URL&#xff1a;https://rsssldf30y00087.rakurakuseisan.jp/iPm5P5ikPZa/sapTopPage/mainView
サポートデスクPCでアクセスしてみても同じ。
楽楽精算サポート内の楽楽精算の接続先一覧より日本ハムマーケティング様のURLへアクセス　⇒　OKお気に入り登録されているURL情報が誤っていたため登録しなおしていただくようご依頼"
楽楽精算にログインすると「00009」エラーが表示される。,"PCはお近くにあるとのことで楽楽精算ポータルサイトを開き、NHのQRコードの読み取っていただく。スマートフォンから連絡しているので、後程試してみますとのこと。ｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ13:13　入電
アプリ更新画面が表示されたとのことで、更新していただく。その後、QRコードを読み取りなおしていただき、復旧。",ログイン/PW,ログイン;精算,,その他,0.3,楽楽精算にログインすると「00009」エラーが表示される,楽楽精算にログインすると「00009」エラーが表示される。,"PCはお近くにあるとのことで楽楽精算ポータルサイトを開き、NHのQRコードの読み取っていただく。スマートフォンから連絡しているので、後程試してみますとのこと。&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;&#xff70;13:13　入電
アプリ更新画面が表示されたとのことで、更新していただく。その後、QRコードを読み取りなおしていただき、復旧。"
楽楽精算でシングルサインオン時に「エラーコード：00009」が表示される場合の対処法は？,新しいURLの設定を行い、再インストール後にURLを貼り付けて設定を変更してください。操作が難しい場合は、ホームボタンの操作や再インストールの手順を確認しながら進めてください。申請済みのデータが消えている場合は、再度申請を行ってください。,ログイン/PW,楽楽精算;シングルサインオン;エラーコード00009;ログインエラー;新URL設定;再インストール;交通費申請;申請データ消失,,申請者,0.95,【お問い合わせ】＜エラーコード：00009＞,"18日まで通常通りで使えていたのですが、
楽楽精算を開こうとするとシングルサインオンでエラーが発生しましたと表示されました。
どうすればいいですか。","■新URL設定についてご説明。普段からパソコンは使わず、携帯のみ使っていらっしゃるということで酒井様宛に案内メールを送信。ただ、携帯に明るくない方&#xff08;URLコピーをお伝えするも、コピーはどうしたらできるのと仰せ&#xff09;のようでしたので、加えて架電を行う。手順を進めていただきましたが、再度エラーコード&#xff1a;00009表示が出る。アンインストールを考えましたが、アンインストールとはなにか、一度ホーム画面に戻っていただきたいとお伝えするもホーム画面とはなんですか等のお話になりましたので、周りの方にお助けいただくことは可能か確認するも今月中にNHグループの方と会わないと仰せ。ただ、今月中に今月分バス・電車の交通費を申請しないといけないと仰せでしたので、ホームボタンの操作から案内。再インストール⇒URL貼り付け実行。無事設定変更完了。ただ、「領収書の読み取り」等の画面がいつもと違うと仰せ。交通費精算の操作をお伝えしつつ、16日以降の16~18日分の申請していたはずですが、消えていると仰せ。一度閲覧・編集を押していただくも0件と表示が出ているもようで、途中で消えてしまっている可能性が高い現状をお伝え。ご納得いただき16日分から申請しますと仰せになり終話。
&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;
⇒今後、申請方法等でお問い合わせがある可能性があります。"
"在宅で楽楽精算にログインできない
エラーコード00001と表示されている","
 


 


株式会社日本ハム　食肉マーケティング推進室小林様いつもお世話になっております。楽楽精算サポートデスク冨山です。ネットワークの状況は解消いたしましたでしょうか。GlobalProtectに接続出来ていない場合は以下手順をご確認ください。【Prisma】＜在宅・出張時用＞よくあるFAQ(Win7・Win10).pdfまた、GlobalProtectが「接続済み」になりましたら以下より楽楽精算へのログインをお試しください。https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/何かご不明点等ございましたら再度ご連絡いただけますと幸いです。以上、ご確認よろしくお願いいたします。
 
------------------------------------------------------------
2025/06/30 16:07:30にログインできていることを確認
",ログイン/PW,ログイン;精算,,その他,0.3,在宅で楽楽精算にログインできない,"在宅で楽楽精算にログインできない
エラーコード00001と表示されている","
 


 


株式会社日本ハム　食肉マーケティング推進室小林様いつもお世話になっております。楽楽精算サポートデスク冨山です。ネットワークの状況は解消いたしましたでしょうか。GlobalProtectに接続出来ていない場合は以下手順をご確認ください。【Prisma】&#xff1c;在宅・出張時用&#xff1e;よくあるFAQ(Win7・Win10).pdfまた、GlobalProtectが「接続済み」になりましたら以下より楽楽精算へのログインをお試しください。https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/何かご不明点等ございましたら再度ご連絡いただけますと幸いです。以上、ご確認よろしくお願いいたします。
 
------------------------------------------------------------
2025/06/30 16:07:30にログインできていることを確認
"
楽楽精算で「403 証明書が選択されていません」というエラーが表示されてログインできない場合の対処法は？,Microsoft Office系アプリケーションから一度サインアウトし、再度サインインしなおすことで、証明書選択画面が表示されて楽楽精算にログインできる場合があります。上記を試しても解決しない場合は、担当部門にお問い合わせください。,ログイン/PW,楽楽精算;403;証明書;ログイン;エラー;サインアウト;サインイン;Office,,ユーザー,0.95,【お問い合わせ】403 証明書が選択されていません,"先週までログイン可能だったのですが、今朝、楽楽精算を開こうとすると開けませんでした。何が原因でしょうか。
","ワンノート参照&#xff1a;403　証明書が選択されていません
&#xff1c;ヒアリング&#xff1e;・接続先一覧よりNH環境を開いていただくと証明書ログイン画面に到達。　証明書ログインのボタンを押下後、403&#xff5e;の表示。
以下実施❶edgeをすべて閉じ、再度開きなおしいただく　⇒症状変わらず。❷すべての期間を選択し、キャッシュクリア実施　⇒症状変わらず
⇒マニュアルに沿い、ITヘルプメンバの関口さんへ引き継ぎ
　C000027243※関口さんより情報共有・原因不明ですが、office系を部サインアウトサインインしなおし、無事証明書選択画面が表示され楽楽精算にログインできたとのこと。"
楽楽精算に接続するとエラーが表示される場合の対処法は？,楽楽精算の古いURLが設定されている場合、接続時にエラーが表示されます。Nhitsを開き、業務ツール欄の「楽楽精算接続先一覧」から会社CD 0993の「日本ハムシステムソリューションズ」を選択し、証明書ログインを行ってください。お気に入り登録をしている場合は、新しいURLで再登録してください。,ログイン/PW,楽楽精算;接続エラー;URL変更;Nhits;証明書ログイン;お気に入り登録;業務ツール;日本ハムシステムソリューションズ,,ユーザー,0.95,【パソコン】楽楽精算に接続できない,"今、楽楽精算に接続すると以下のエラーが出るのですが、
なにか障害もしくはメンテナンス中であったりしますでしょうか&#xff1f;
ご確認よろしくお願い致します。　大崎事務所&#xff08;14F&#xff09;からの接続です。
 

 ","【回答内容】
詳細をご教示いただきありがとうございます。
お問い合わせいただきましたメッセージは、楽楽精算の古いURLが設定されている影響で表示されます。
※先週の金曜日まで古いURLからリダイレクトがかかり接続が可能でしたが、封鎖&#xff08;接続不可&#xff09;となりました。
 
改善のため、以下の手順をお試しいただけますでしょうか。
 
【手順】
Nhitsを開きます。最大化後、右側の業務ツール欄にある「楽楽精算接続先一覧」をクリックします。

会社CD 0993にあります「日本ハムシステムソリューションズ」をクリックします。
※クリック後、証明書ログインがまだお済でない場合は、証明書ログイン操作をお願いいたします。

 
最後に、普段お気に入り登録等から開かれておりましたら新たにお気に入り追加をしていただき、置き換える等の操作をお願いいたします。
 
以上となります。
 
ご不明な点等ございましたら、下記問合せ先までご連絡ください。"
楽楽精算の新URLでエラーコード「00009」が表示され、領収書読み取りボタンが表示されない場合の対処法は？,新URLについてはマニュアルをご参照のうえ、QRコードを読み取って操作をお試しください。ご不明な点があればサポートまでご連絡ください。,ログイン/PW,楽楽精算;新URL;エラーコード00009;領収書読み取り;ホーム画面;ログイン;QRコード;マニュアル,楽楽精算サポートマニュアル,申請者,0.95,【お問い合わせ】＜新URL＞エラーコード：00009,"エラーコード&#xff1a;00009表示のあと、
パソコンのようなホーム画面になり今回領収書読み取りボタンが表示されなくなりました。改善する方法はありますか。","新URLについてご説明。　
楽楽精算サポートよりマニュアルをご覧いただきつつ手順をサポート。
QRコード読み取りましたらあとは自分でやってみますと仰せ。ご不明な点ありましたら遠慮なくご連絡くださいとお伝えし終話。"
"楽楽精算にログインできないPCがある
SN4J012508H",リモート接続。デスクトップ上の楽楽精算のショートカットアイコンが旧URL。接続先一覧からアクセスして、ショートカット切替→問題なく接続できたことを確認。,ログイン/PW,ログイン;精算,,その他,0.3,楽楽精算にログインできないPCがある,"楽楽精算にログインできないPCがある
SN4J012508H",リモート接続。デスクトップ上の楽楽精算のショートカットアイコンが旧URL。接続先一覧からアクセスして、ショートカット切替→問題なく接続できたことを確認。
"楽楽精算のロックがかかってしまった
パソコンを持たない社員のため代理で連絡している
U20004881　宮下巧 ",楽楽精算のロックはかかっていない→HENNGEを確認するとロックアウトされていたためC000027553　にてアカウントロックの解除を実施問題なくログインできたため完了。,ログイン/PW,精算,,その他,0.3,楽楽精算のロックがかかってしまった,"楽楽精算のロックがかかってしまった
パソコンを持たない社員のため代理で連絡している
U20004881　宮下巧 ",楽楽精算のロックはかかっていない→HENNGEを確認するとロックアウトされていたためC000027553　にてアカウントロックの解除を実施問題なくログインできたため完了。
楽楽精算にログインできなくなった。以前も同じ問合せを行ったが、また再設定が必要なのか。,"2025/06/09 (月) 14:39　メール送付====================================【回答内容】
❶まず、「楽楽精算」アプリをアンインストールします。❷PlayStoreを開き、「楽楽精算」アプリをインストールし直します。❸楽楽精算アプリを起動します。❹以下の画面になりますので、URLを入力します。　 ↓このURLを範囲選択し、コピーして貼り付けてください。　　  https://rsknitting.rakurakuseisan.jp/iPm5P5ikPZa/❺「確定」を押し、シングルサインオン認証して下さい。====================================14:41　連絡ご一緒にご案内。接続できたことを確認。",ログイン/PW,ログイン;精算,,その他,0.3,【スマートフォン】楽楽精算にログインできなくなった,楽楽精算にログインできなくなった。以前も同じ問合せを行ったが、また再設定が必要なのか。,"2025/06/09 (月) 14:39　メール送付&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;【回答内容】
❶まず、「楽楽精算」アプリをアンインストールします。❷PlayStoreを開き、「楽楽精算」アプリをインストールし直します。❸楽楽精算アプリを起動します。❹以下の画面になりますので、URLを入力します。　 ↓このURLを範囲選択し、コピーして貼り付けてください。　　  https://rsknitting.rakurakuseisan.jp/iPm5P5ikPZa/❺「確定」を押し、シングルサインオン認証して下さい。&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;14:41　連絡ご一緒にご案内。接続できたことを確認。"
楽楽精算にログインできない場合はどうすればよいですか？,古いURLからアクセスしている場合、ログインできないことがあります。以下の正しいURLから楽楽精算にアクセスしてください。https://rscostume.rakurakuseisan.jp/iPm5P5ikUZa/　また、お気に入り登録やショートカットアイコンを作成している場合は、再作成が必要です。アカウントロック等がかかっていない場合、正しいURLからアクセスすればログインできます。,ログイン/PW,楽楽精算;ログイン;URL;アクセスできない;アカウントロック;ショートカット;お気に入り;日本ピュアフード,https://rscostume.rakurakuseisan.jp/iPm5P5ikUZa/,申請者,0.95,【パソコン】FW: 楽々清算ができません,"日本ピュアフード株式会社の上原さんから楽楽精算にログインできないと連絡がありました。
2か月ほど前くらいまではログインできていたようです。
5/1付けで弊社からマスタ申請(添付エクセル)を提出していますがこちらが何か悪さをしていますでしょうか。
申請した担当者が退職してしまったためご教示ください。
よろしくお願いいたします。","ユーザ様に以下内容のメール送信&#xff1d;&#xff1d;&#xff1d;
【回答内容】
■申請書について
5/1に、申請書の内容通りに更新され、申請内容も❶部署変更&#xff08;C12650000⇒C12651100&#xff09;と
❷承認経路の変更であれば、正しく反映されている認識でございます。
■ログインできない理由
古いU&#xff32;&#xff2c;からログインされようとしていると思われますので、
お手数をおかけしますが、上原様に、以下のURLから楽楽精算にアクセスいただくよう
ご案内いただけますでしょうか。
★日本ピュアフード株式会社様楽楽精算&#xff35;&#xff32;&#xff2c;
https://rscostume.rakurakuseisan.jp/iPm5P5ikUZa/
※もしお気に入り登録やショートカットアイコンを作成している場合、再作成いただく必要がございます。
 
上原様のアカウント情報を拝見し、アカウントロック等はかかっていないことを確認しておりますので、
アクセスするURLさえ正しければ問題なくログインできるかと存じます。"
楽楽精算でログインできず、FAQに記載の『1時間待てばログインできる』方法を試しても同じエラーメッセージが表示される場合の対処法は？,楽楽精算はConnectPJ Step2稼働に伴うシステムメンテナンス中のため、2025年4月1日(火) 22:00～2025年4月4日(金) 08:00の期間はログインできません。メンテナンス終了後の4月4日8:00以降に再度ログインをお試しください。,ログイン/PW,楽楽精算;ログイン;エラーメッセージ;アカウントロック;FAQ;システムメンテナンス;ConnectPJ Step2;メンテナンス期間,,申請者,0.95,楽楽精算）ロックに関して,"今朝からログインができなく、FAQですと&#xff11;時間ほど待てばログインできる旨の記載があったのですが、
&#xff11;時間以上おいても、同じエラーメッセージがでてしまいます。
 
アカウントロックがかかってしまったのでしょうか&#xff1f;
 
お手数ですが、ご確認いただきますようお願い申し上げます。
 
 
m.tsuchiya&#64;nipponham.co.jp",&#xff08;藤岡さんフォロー&#xff09;13:59　メール返信------------------------------------------------------------お問合せ頂きました件につきましてご案内申し上げます。【問合せ内容】今朝からログインができなく、FAQですと&#xff11;時間ほど待てばログインできる旨の記載があったのですが、&#xff11;時間以上おいても、同じエラーメッセージがでてしまいます。アカウントロックがかかってしまったのでしょうか&#xff1f;【回答内容】こちらの件ですが、楽楽精算は、ConnectPJ Step2稼働に伴うシステムメンテナンスを行っております。日本ハム様はメンテナンス対象のため2025年4月1日(火) 22:00　&#xff5e;　2025年4月4日(金) 08:00　上記期間中、ログインすることは出来ません。&#xff08;ご案内を4/1 9:01にメールにて送信しております。&#xff09;ご迷惑をおかけし、大変申し訳ございませんが4/4 8:00 以降に再度お試しいただけますでしょうか。以上となります。
"外出先です。
パソコンで楽楽精算にログインできなくなった。ロード中となり「このページに到達できません」エラーが表示される。
他のGoogleなどは、大丈夫なのですが、なにかおこっているのでしょうか。","旧URL封鎖についてお伝え。
Nhits⇒接続先一覧⇒NHBAからの接続でしたら開けますとお伝え。
後ほど確認しますと仰せ。
お試しいただき繋がらないなどありましたらご連絡くださいとお伝えし、終話。",ログイン/PW,ログイン;精算,,その他,0.3,【パソコン】楽楽精算にログインできなくなった,"外出先です。
パソコンで楽楽精算にログインできなくなった。ロード中となり「このページに到達できません」エラーが表示される。
他のGoogleなどは、大丈夫なのですが、なにかおこっているのでしょうか。","旧URL封鎖についてお伝え。
Nhits⇒接続先一覧⇒NHBAからの接続でしたら開けますとお伝え。
後ほど確認しますと仰せ。
お試しいただき繋がらないなどありましたらご連絡くださいとお伝えし、終話。"
楽楽精算にアクセスできなくなった。URLが新しくなったのか。,"SSO認証切替前に利用していたURLは今朝閉鎖された為、
恐らくURLが古いままになっている可能性が高いとお伝え。
「楽楽精算接続先一覧」から「0099　NH」にアクセスいただき復旧。お気に入り登録し直していただく。",ログイン/PW,精算,,その他,0.3,楽楽精算にアクセスできなくなった,楽楽精算にアクセスできなくなった。URLが新しくなったのか。,"SSO認証切替前に利用していたURLは今朝閉鎖された為、
恐らくURLが古いままになっている可能性が高いとお伝え。
「楽楽精算接続先一覧」から「0099　NH」にアクセスいただき復旧。お気に入り登録し直していただく。"
楽楽精算にログインしようとするとロード中のまま「このページに到達できません」エラーが表示される場合の対処法は？,旧URLが封鎖されている場合、Nhitsへの接続ができず旧Nhitsが開かれてしまい新Nhitsが開けないことがあります。新しいNhitsのURLを直接入力し、接続先一覧からNH冷凍食品を選択してください。ショートカットを作成することで、今後もスムーズにアクセスできます。,ログイン/PW,楽楽精算;ログイン;エラー;このページに到達できません;Nhits;旧URL;新Nhits;ショートカット,,ユーザー,0.95,【パソコン】楽楽精算にログインできなくなった,パソコンで楽楽精算にログインできなくなった。ロード中となり「このページに到達できません」エラーが表示される。,"■SN15145496Hへリモートできず、口頭で案内。
旧URL封鎖についてお伝え。Nhitsへの接続が普段から開かないので旧Nhitsで開かれてしまい新Nhitsが開けない。⇒江宮さんに相談。　⇒URL打ち込んでいただく案⇒通話再開しましたら新Nhitsを開けたと仰せ。
Nhits⇒接続先一覧よりNH冷凍食品を開いていただくと問題なし。
ショートカット作成の方法をご案内し、終話。"
"つぎの支払依頼につきまして、不要なデータになりました。
 
データを削除したいのですが、申請者が退社したため操作ができません。
このようなデータを削除することは可能でしょうか。","2025/05/01 (木) 9:03　以下メール着
======================
先ほどのメールはご放念ください。
 
弊社、田中から同様のメールが送信されていました。",システム操作,申請;削除,,その他,0.3,【ご相談】差戻中の支払依頼の削除につきまして,"つぎの支払依頼につきまして、不要なデータになりました。
 
データを削除したいのですが、申請者が退社したため操作ができません。
このようなデータを削除することは可能でしょうか。","2025/05/01 (木) 9:03　以下メール着
&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;
先ほどのメールはご放念ください。
 
弊社、田中から同様のメールが送信されていました。"
社員マスタに異動済みの社員が残っている場合、削除申請はどのようにすればよいですか？,社員マスタに登録が不要な場合は、削除の申請書をご提出いただく必要があります。,業務手順/運用ルール,社員マスタ;異動;削除申請;申請手順;サステナビリティ部;登録不要;運用ルール;業務手順,,申請者,0.95,【申請関連】社員マスタ内容について,"いつもお世話になっております。
 
今回頂きました、最新の社員マスタに3.16に日本物流センターへ異動した神戸が残っております。
こちらについてはサステナビリティ部で削除申請をしたほうが良いのでしょうか&#xff1f;
宜しくお願い致します。
 

U00980102

神戸直樹

神戸直樹

カンベナオキ
","日本ハム株式会社 
鶴見様
 
いつもお世話になっております。
楽楽精算サポートデスク　冨山と申します。
 
お問合せ頂きました件につきましてご案内申し上げます。
 
【問合せ内容】
今回頂きました、最新の社員マスタに3.16に日本物流センターへ異動した神戸が残っております。
こちらについてはサステナビリティ部で削除申請をしたほうが良いのでしょうか&#xff1f;
宜しくお願い致します。
 

U00980102

神戸直樹

神戸直樹

カンベナオキ

 
【回答内容】
 
こちらですが、日本ハム様の環境で神戸様のご登録が不要な場合
削除の申請をご提出いただく必要があります。
 
不要な場合は削除の申請書をご提出いただきますよう、お願いいたします。
 
以上となります。
 
ご不明な点等ございましたら、下記問合せ先までご連絡ください。
 
以上、よろしくお願いいたします。"
承認済みの出張申請を削除する方法を教えてください,システムの仕様上、承認済みの出張申請を削除することはできません。不要な申請については、日当0円の明細なし（0円）の出張精算を実施し、備考欄に理由（不要な出張申請解消のため等）を記載してください。,システム操作,出張申請;承認済み;削除;システム操作;出張精算;日当0円;明細なし;備考欄,,申請者,0.95,【出張申請】承認済みの出張申請を削除したい,"出張申請を上げたが、日程が誤っていることに気付いた。
再度出張申請を上げて精算しようと思うが、最初にあげた出張申請は削除可能か。
 
 
 ","システムの仕様上、削除することは出来ない。日当0円の明細なし&#xff08;0円&#xff09;の出張精算を実施いただければ問題ないとお伝え。
大連BPO方ではじかれないかとご質問。備考欄に理由&#xff08;不要な出張申請解消のためなど&#xff09;&#xff09;と記載頂ければ問題ないとお伝え。
申請してみますとのこと。"
異動元の申請を取り下げる方法を教えてください。,申請者の所属に釧路を入れた申請書を提出し、反映後に申請者自身で伝票の取り下げを行ってください。取り下げが完了したら、再度釧路を消した申請書を提出し、釧路の権限を削除して終了となります。,業務手順/運用ルール,異動元;申請;取り下げ;伝票;所属;権限削除;業務手順;運用ルール,,申請者,0.95,異動元の申請の取り下げを行いたい【関連：QA-001655→QA-001659】,"異動元の申請の取り下げを行いたい
下記の申請の取り下げの件で、阿部様と柴山様から相談があったと思うが、具体的に何をすればよいのか確認したい。
&#xff1c;経緯確認&#xff1e;伝票No.    D02120000023865所属事業所    東日本フード㈱北海道釧路(C08800000)申請者    阿部涼花(U10087120)第一承認者　柴山一郎&#xff08;U10013042&#xff09;","太田様へ連絡。
ユーザ申請として、阿部様の所属に釧路を入れた申請書を提出。そちらが反映後、阿部様で伝票の取り下げを行っていただく。
取下げが終わりましたら、再度、阿部様の釧路を消した申請書を提出いただき、釧路の権限を削除して終了となると案内
→了解いただく。"
2年前の申請が削除できない、削除する方法はあるか,"楽楽精算のシステムの仕様上、2年以上前の伝票は更新不可となり「取下げ」、「削除」、「否認処理」などの伝票処理ができない旨をお伝え。
2年以上前の「取下げ」「差戻し」状態の伝票は、3年以上経過した段階でシステムにより自動削除される仕様となる為、
伝票が自動削除されるまでお待ちいただくようご案内し、終話。
 
 
※補足（冨山さんに連絡済）
「取下げ」「差戻し」状態の伝票は、3年以上経過した段階でシステムにより自動削除されますが、「確定待」（＝承認完了済み）状態の伝票は、入力した日から11年3ヵ月間保管される仕様となる為、それ以降でないと消えない",システム操作,申請;削除,,その他,0.3,2年前の申請が削除できない,2年前の申請が削除できない、削除する方法はあるか,"楽楽精算のシステムの仕様上、2年以上前の伝票は更新不可となり「取下げ」、「削除」、「否認処理」などの伝票処理ができない旨をお伝え。
2年以上前の「取下げ」「差戻し」状態の伝票は、3年以上経過した段階でシステムにより自動削除される仕様となる為、
伝票が自動削除されるまでお待ちいただくようご案内し、終話。
 
 
※補足&#xff08;冨山さんに連絡済&#xff09;
「取下げ」「差戻し」状態の伝票は、3年以上経過した段階でシステムにより自動削除されますが、「確定待」&#xff08;&#xff1d;承認完了済み&#xff09;状態の伝票は、入力した日から11年3ヵ月間保管される仕様となる為、それ以降でないと消えない"
"以下の事例で困っております。
一度削除して清算しなおしたほうがいいでしょうか？","以下内容をメールで回答済み
==========================
【回答内容】
楽楽精算システムでは、異動前の所属で申請した申請は異動後の所属では使用できない（修正できない）仕様になっております。
※中井様は4/10反映で、所属部署名が環境品質保証(C18240000)⇒本社管理本部(C04030000)に部署名が変更されていることを確認済みです
　 対象申請の部署名をも旧部署になっていることも確認済みです
ご認識頂いている通り、再度、出張申請を申請し直していただく必要がございます。
誠に恐れ入りますが、ご対応のほどよろしくお願いします。
 
＜参考＞
 操作マニュアル＜異動編＞.pdf
　　⇒P.10、33
 
以上となります。",システム操作,精算;申請;削除,,その他,0.3,【出張精算】FW: 【要確認】(楽楽精算)申請内容確認のお願い_0403_B04030000003018  _郁,"以下の事例で困っております。
一度削除して清算しなおしたほうがいいでしょうか&#xff1f;","以下内容をメールで回答済み
&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;
【回答内容】
楽楽精算システムでは、異動前の所属で申請した申請は異動後の所属では使用できない&#xff08;修正できない&#xff09;仕様になっております。
※中井様は4/10反映で、所属部署名が環境品質保証(C18240000)⇒本社管理本部(C04030000)に部署名が変更されていることを確認済みです
　 対象申請の部署名をも旧部署になっていることも確認済みです
ご認識頂いている通り、再度、出張申請を申請し直していただく必要がございます。
誠に恐れ入りますが、ご対応のほどよろしくお願いします。
 
&#xff1c;参考&#xff1e;
 操作マニュアル&#xff1c;異動編&#xff1e;.pdf
　　⇒P.10、33
 
以上となります。"
システムのマイパターンを削除する方法を教えてください,マイパターン一覧で削除したいパターンのチェックボックスにチェックを入れると「削除」ボタンが表示されるので、クリックしてください。,システム操作,マイパターン;削除;システム操作;一覧;チェックボックス;個人設定;削除ボタン;手順,,ユーザー,0.95,マイパターンを削除したい,マイパターンを削除したい,&#xff08;藤岡さんフォロー&#xff09;マイパターン一覧より「削除」をクリックしていただくようご案内するが「削除」がないと仰せSN74057654H遠隔接続領収書入力のマイパターンを開かれていたため個人設定のマイパターンを開いていただくチェックボックスにチェックを入れ「削除」が表示されたため「削除」問題なく削除できたため完了
