質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
intra-martの飲食費申請で申請金額を修正する方法を教えてください,申請書を修正したい場合は、引戻しや差戻しを行い、処理対象者を申請者まで戻すことで修正が可能です。結果申請から事前申請に引戻すことはできないため、再度事前申請を行う場合は結果申請を取止めし、コピー新規で再申請してください。最終承認後は訂正申請が必要です。詳細は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」の「データ訂正について」シートをご確認ください。飲食費申請の入力内容についてはNH_経理財務部までお問い合わせください。,質問,intra-mart;飲食費申請;金額修正;引戻し;差戻し;再申請;訂正申請;操作マニュアル,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx,申請者,0.95,【intra-mart】飲食費申請の金額修正,"*********************************
【問い合わせ内容】
・フロー名：飲食費申請
・ワークフローでのお困り事（問合せ内容）：
飲食費申請の金額を修正したい。
*********************************","【対応内容(一次)】
２回電話したが繋がらないため、メールで回答

*********************************

お電話したのですが不在でしたので、メールで回答させていただきます。
申請書を修正したい場合は引戻し、差戻しを行い処理対象者を申請者まで戻していただければ
申請を修正することが可能です。

◆参考
?引戻し・再申請・取止め 方法 (sharepoint.com)?
承認・否認・差戻し 方法 (sharepoint.com)

結果申請から事前申請に引戻しすることはできないため、もう一度事前申請される場合は
結果申請を取止めしていただき、コピー新規で再度申請をお願いいたします。
また、最終承認までされてしまい変更不可ということでしたら訂正申請が必要となります。

詳細につきましては、以下マニュアルの「データ訂正について」シートをご確認ください。
 202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx

また、飲食費申請の入力内容についてのお問合せ先はNH_経理財務部となります。

intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)

【対応内容(二次)】
nan"
intra-martで飲食費申請をキャンセルする方法を教えてください,申請画面上の「処理」ボタンを押下し、処理種別を「取止め」に選択すると申請をキャンセルできます。支払先情報が「不明」の場合は他の選択肢を選んでから処理ボタンを押下してください。詳細な手順はintra-mart窓口の「■ 再申請・取止め」マニュアルをご参照ください。,質問,intra-mart;飲食費申請;キャンセル;取止め;申請画面;処理ボタン;支払先情報;再申請,■ 再申請・取止め,申請者,0.95,【メール対応】intra-mart飲食費申請のキャンセル方法について,"※受信時刻：13:15
ーーーーーーーーーーーーーーーーーーーーーーー
Intra-martで飲食費申請をしましたが、キャンセルをする入力方法をご教授お願い致します。","【対応内容(一次)】
13:26　高松様へメール返信
ーーーーーーーーーーーーーーーーーーーーーー
ご連絡いただきました件、申請を取り止める方法という意味でしょうか。

取止める方法につきましては、intra-martの窓口に手順が掲載されておりますので、
以下リンクをご確認頂きますようお願い致します。

　引戻し・再申請・取止め 方法 ⇒「■ 再申請・取止め」 をご参照ください。
ーーーーーーーーーーーーーーーーーーーーーー

15:32　高松様よりメール着
ーーーーーーーーーーーーーーーーーーーーーー
事前申請しましたが、使用しなかったため、今回の申請自体をキャンセルする方法を
教えて頂きたいです。
下記のように、結果申請作成中になっております。
ーーーーーーーーーーーーーーーーーーーーーー

15:53　高松様へフローの確認依頼メール送付
16:04　高松様よりメール着

＜対象フロー名＞
9910_NH直轄・コーポレート管轄 ＞ NH経理財務部
　　　　　　　 ＞飲食費・ゴルフ関係費申請 ＞飲食費申請

・現在は、「結果申請作成中」となっており申請自体をキャンセルしたい。
・そもそも申請方法が間違えていたのか。

ーーーーーーーーーーーーーーーーーーーーーーーーー
※メールを添付しました。ダウンロードしてご確認お願い致します。

【対応内容(二次)】
結果申請作成中ですので、申請画面から取止めが可能です。
画面上の「処理」ボタンを押下後、処理種別を「取止め」にしていただくと
案件を終了することができます。
ーーーーーーーーーーーーーーーーー
ユーザから再問合せ。（蛭子本さんお休みだったため、藤本対応）
処理ボタンの後に処理種別がない
→案件一覧の処理ボタンと申請画面の処理ボタンを混同されている様子だったため、申請画面上の処理ボタンを押下後に処理種別が表示されることお伝え。

申請画面上の処理ボタンを押下すると支払先情報のメッセージが表示される。
明日(7/8)電話する
→支払先情報が「不明」の場合のエラーメッセージのため、他の選択肢を選んでいただいてから処理ボタンを押下いただくようご案内。
ご不明点があれば入電いただくようお伝え。

→ユーザから解決した旨のご連絡あり。クローズ。"
intra-martの飲食費申請で、会食費用の事前申請後に結果申請ができない場合はどうすればよいですか？,6月18日以前に事前申請された飲食費申請書の場合、結果申請は代理者のみが申請できます。6月19日以降に申請された申請書は、申請者と代理者の両方が結果申請できますが、7月中旬頃の改修で元の仕様（代理者のみ申請可能）に戻る予定です。,質問,intra-mart;飲食費申請;会食費用;結果申請;代理申請;事前申請;仕様変更;申請者,,申請者,0.95,【intra-mart】飲食費申請の結果申請ができない,"会食費用の申請を代理で実施してもらい確定した。
会食に参加し、結果を入れようと思っているが、結果申請ができない。","【対応内容(一次)】
フロー名を確認

9910_NH直轄・コーポレート管轄 ＞ NH経理財務部 ＞飲食費・ゴルフ関係費申請
　＞ 飲食費申請

担当より連絡させて頂くとお伝え。

【対応内容(二次)】
2025/06/27　16:17　筒井
担当者へエスカレーション
ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

6/18以前に事前申請された申請書でしたので、結果申請は代理者しか申請できないことをお伝えしました。

※6/19以降に申請された申請書の場合は、結果申請時に画面上の申請者（代理元申請者）と代理者の両方申請できるのですが、
　７月中旬頃に６次改修で元の仕様（結果申請は代理者しか申請できない）に戻す予定です。"
intra-martで飲食費申請の進捗状況を確認する方法を教えてください。,intra-martで申請した飲食費申請の進捗状況は、案件一覧から確認できます。案件一覧で対象の案件をクリックすると、進捗状況や承認経路、処理中の担当者を確認できます。詳細は案件一覧の説明サイトや、飲食費申請独自のステータスについては操作マニュアルの「ステータス画面解説」シートをご参照ください。,質問,intra-mart;飲食費申請;進捗状況;案件一覧;承認経路;ステータス;操作マニュアル;確認方法,案件一覧 (sharepoint.com);202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx (sharepoint.com),申請者,0.95,【intra-mart】飲食費申請の進捗状況確認方法について,飲食費申請の進捗状況確認方法について教えてほしい,"【対応内容(一次)】
intra-martログインは出来ている。

フロー名：飲食費申請

担当部署より折り返しご連絡する旨お伝えし終話。

==========================================================
※ご担当者様、恐れ入りますがご対応いただけますでしょうか。
　折り返しのご連絡は、記載の番号へお願いいたします。
==========================================================

【対応内容(二次)】
2024/12/25 13:35 板﨑対応

担当者へエスカレーション。
--------------------------------------

intra-martで申請した案件は案件一覧から確認ができます。
案件一覧で対象の案件をクリックすると、進捗状況を確認することが可能です。

③ フロー　/　別ウィンドウで、案件の承認経路を照会する画面が表示されます。
　　　　　　　この画面で対象の案件がどこまで処理されていて、どなたが処理中か確認頂けます。

詳細は、以下サイトに説明を記載しております。
案件一覧 (sharepoint.com)

また、飲食費申請独自のステータス（進捗状況）は以下マニュアルの「ステータス画面解説」シートに記載しています。
202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx (sharepoint.com)"
intra-martの飲食費申請で、当社が全て支払いする場合は「領収書の分割有り」をチェックする必要がありますか？,自社で全て支払う場合は「領収書の分割有り」のチェックは不要です。領収書分割は、領収書を分けて発行した場合にチェックをつける必要があります。,質問,intra-mart;飲食費申請;領収書分割;ワークフロー;申請方法;ゴルフ;支払い;操作方法,intra-mart飲食費申請画面のお知らせ,申請者,0.95,【intra-mart】飲食ゴルフ問合せ,"*********************************
【問い合わせ内容】
・フロー名：飲食費申請
・ワークフローでのお困り事（問合せ内容）：
飲食ゴルフの申請で、当社が全て支払いする場合、　「領収書の分割有り」をチェックしないと金額を入力できない。
当社が全て支払いする場合は、下記の入力は不要ですか？　
*********************************","【対応内容(一次)】
普通に自社で全て支払う場合は上記のチェックは不要かと思います。
領収書分割は領収書を分けて発行した場合にチェックをつける必要があるみたいです。

参考情報として、intra-martの飲食費申請画面のお知らせのリンクをお送りしました。

【対応内容(二次)】
nan"
intra-martの飲食費申請の計算ロジックはどこで確認できますか？また、2027年10月以降の計算ロジック変更はどのように対応すればよいですか？,飲食費申請の計算ロジックはシステムで実装されており、計算処理のパターンは資料にまとめています。2027年10月以降の計算ロジック変更については、既存の申請書の改修で対応可能です。変更内容が確定次第、早めに改修をご依頼ください。,要望,intra-mart;飲食費申請;計算ロジック;計算処理;申請書改修;システム;資料;2027年10月,,申請者,0.95,【intra-mart】飲食費申請の計算ロジックについて,"*********************************
【問い合わせ内容】
・フロー名：飲食費申請
・ワークフローでのお困り事（問合せ内容）：
計算ロジックを定義した資料をお持ちでしたら　頂戴できないでしょうか？
（もともと私が要望した計算ロジックなのですが、私自身が当時の資料を見つけられなく、いちばん最初の要件定義書も確認したのですが、そちらには記載がありませんでした。。）
?さ来年の2027年10月から、ここの計算ロジックを変える必要がありまして、マスタで変更できるのかな？とマスタを覗きに行ったのですが、マスタではなさそうでしたので、多分システム的に組んでいただいていると思っております。
*********************************","【対応内容(一次)】
2025/12/23 17:08　蛭子本

おっしゃる通り、計算ロジックはシステムで組んでおります。
計算処理のパターンは資料にまとめております。

*********************************
2025/12/23 17:36　山中さん

数字を　2027年10月から　「7」　に変更します。　飲食予定/実施日　をKEYにして、2027年9月末までは、 110*8  2027年10月1日からは　110*7 にしたいとなると、数字変更だけではなく、新規開発になりますかね？？

*********************************
2025/12/23 17:57　蛭子本

新規開発ではなく既存の申請書を改修することで上記の実装は可能かと思います。
来期で問題ございませんので、変更内容が確定しましたら早めに改修をご依頼いただけますと幸いです。

【対応内容(二次)】
nan"
intra-martの飲食費申請で、事前申請後に氏名の誤りで差し戻された申請を放置し、飲食予定日が申請日より前の日付で入力されている場合に「飲食予定日が申請日より前の日付で入力されていません」というエラーが表示される場合の対処法は？,飲食費が過ぎている場合、事前申請はできません。再申請の際は申請の種類を変更できないため、新たに申請をあげ直してください。未処理に残っている申請は「飲食予定日」の内容を変更の上、取止めを行ってください。,トラブル,intra-mart;飲食費申請;事前申請;差し戻し;エラー;飲食予定日;申請日;申請取止め,,申請者,0.95,【intra-mart】飲食費の結果申請ができない,"intra-mart内の飲食費申請の事前申請を実施したが、7名入力したうちの1名の氏名が間違っていたようで差し戻されていた。
差し戻されていたことに気づかず、飲食が終わり、結果申請を実施しようとしたが、「飲食予定日が申請日より前の日付で入力されていません」といったエラーになる。","【対応内容(一次)】
申請番号：2025082600084B
フロー名：飲食費申請
ユーザーコード：HENNGE Oneでログインされているとのこと
申請者：菅之屋 匡志様

確認後に折り返し連絡させていただくとお伝え
念のため、担当窓口の番号を教えてほしいとのこと。
担当窓口の番号は情報を持っていない旨をお伝えし、一旦はお待ちいただけるとのことでご了承いただく。

※恐れ入りますが、携帯へご連絡をお願いします

【対応内容(二次)】
飲食費が過ぎている場合、事前申請はできないことお伝え。
また、再申請の際に申請の種類は変更できないので、新たに申請をあげ直していただく必要があることお伝え。
⇒ユーザ了承。

未処理に残っている申請は「飲食予定日」の内容を変更の上、取止めを行っていただくようにお伝え。
⇒ユーザ了承。"
intra-martの飲食費申請画面で「申請」ボタンをクリックした際にエラーメッセージが表示され、ブラウザの「戻る」ボタンを押すと『このWebページを正しく表示するには、前に入力したデータを再送信してください。これを行うと、このページ以前に実行された操作が繰り返されます。』と表示され申請画面に戻れない場合の対処法は？,申請画面でエラーが表示された後、ブラウザの「戻る」ボタンを押すと入力内容の画面に戻れない場合があります。この場合、画面の「更新」ボタンをクリックすると申請画面に戻れますが、入力内容がすべて失われる可能性があります。再度申請を行う際は、適宜一時保存を行い、前の画面に戻る場合は申請画面内の「戻る」ボタンを使用してください。,トラブル,intra-mart;飲食費申請;申請ボタン;エラーメッセージ;ブラウザ戻る;更新ボタン;入力内容消失;一時保存,,申請者,0.95,【intra-mart】飲食費申請について,"飲食費申請を行っており、「申請」ボタンをクリックした際にエラーメッセージが表示されたため、
戻るボタンを押したところ下記、メッセージが表示され、申請画面に戻れない。

「このWebページを正しく表示するには、前に入力したデータを再送信してください。
これを行うと、このページ以前に実行された操作が繰り返されます。」","【対応内容(一次)】
リモート実施（SN45051861H）
戻るボタンは申請画面内ではなく、ブラウザ自体の「戻る」ボタンを押されたとのこと。
折り返しさせていただく

※サポートデスク藤本さんへご相談
更新をクリックしてどうか。

9：23　安川様へ架電
安川様が押された「戻る」ボタンはブラウザ自体の戻るボタンであるため、
入力された内容の画面に戻ることはできない可能性が高いとお伝え
更新ボタンをクリック頂くと入力画面に戻ると思われるが、入力内容がすべて失われる可能性が高いこともお伝えし、了承を頂いたうえで更新をクリック。
入力内容は消えてしまったため、再入力いただくようご案内。
適宜一時保存をしていただくこと、前の画面に戻りたい際は申請内の「戻る」ボタンを選択していただくよう案内
申請をクリックした後に「戻る」ボタンが表示されなかったとのこと。

念のため案件一覧より、前の申請がされていないことを確認いただき、切電。

【対応内容(二次)】
nan"
intra-martの飲食ゴルフ申請で結果申請から取止め（差し戻し）ができない場合はどうすればよいですか？,現在、intra-martの飲食ゴルフ申請では結果申請から取止め（差し戻し）は行えません。11月14日以降に改修予定ですが、それまでは案件の強制削除など個別対応となります。詳細は担当部門にお問い合わせください。,トラブル,intra-mart;飲食ゴルフ申請;結果申請;取止め;差し戻し;強制削除;システム改修;操作方法,,申請者,0.95,【intra-mart】飲食ゴルフ申請の差し戻しが出来ない,intra-martの飲食ゴルフ申請の操作について聞きたい。,"【対応内容(一次)】
簡単に内容をお伺い。
飲食ゴルフの事前申請をして承認が下りた。
結果として、申請が未実施となり、差し戻しを上司に依頼したが、出来ないと回答があった。
マニュアル通りにやっているつもりだが、なぜ出来ないのかわからない。

担当者へ連携させていただくが、回答が明日になる可能性ありとお伝え ⇒ ご了承いただける。

※ご担当者様、恐れ入りますがご対応いただけますでしょうか。

【対応内容(二次)】
2024年11月7日　篠崎記載
一次担当者の問合せ記載内容から飲食費・ゴルフ関係費申請DB担当へエスカレーションする。
ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

2024/11/8 蛭子本記載
intra-martの飲食ゴルフ申請で結果申請から取止めを行いたいとのことですが、
申し訳ございません、現在、結果申請では取止めが行えない状態となっております。
（11月14日には結果申請から取止めができるように改修を行う予定です）
そのため、今回はこちらで案件を強制削除させていただこうと思います。

案件番号　0000180106　
管理NO　20241101-00003B

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

2024/11/20 蛭子本記載
案件削除をアプリ開発Gへ依頼しました。

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

2024/11/26 蛭子本記載
案件削除完了したため、山本様にご連絡しました。"
飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示され、一時保存できない場合の対処法は？,飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示される場合、別タブや別ウィンドウでintra-martを開いているとエラーになることがあります。入力しているタブ以外でintra-martを開かないようにしてください。,質問,飲食費・ゴルフ関係費申請DB;SOAの実行失敗;一時保存;エラー;intra-mart;申請入力;別タブ;別ウィンドウ,,申請者,0.95,飲食費・ゴルフ関係費申請DBにて、申請入力後SOAの実行失敗が表示される,"飲食費・ゴルフ関係費申請DBにて、申請入力後SOAの実行失敗が表示される。
一時保存しようとしたがエラーにより保存できないとのこと。
上記対処方法を知りたいとのこと。

フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/10 10:36 板﨑対応

担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
一時保存の際に申請入力後SOAの実行失敗が表示されるとのことですが、
別タブ・別ウィンドウでintra-martを開いているとエラーになる場合があります。

■参考
intra-martの窓口（よくあるご質問）
入力しているタブとは別タブ・別ウィンドウでintra-martを開くとログイン画面が表示され、ログインし申請すると「SOAの実行に失敗しました」のエラーが表示される"
intra-mart飲食費申請で10名を超える場合に「全行削除」と表示され、申請できない場合の対処法は？,intra-mart飲食費申請で出席者が10名以上の場合は、出席者情報の一番左に表示されている番号を右クリックし、削除を選択して明細行を全て削除してください。その後、出席者情報が記載されたファイルを添付ファイル欄にアップロードすることで申請が可能です。詳細な手順は操作マニュアルをご参照ください。,質問,intra-mart;飲食費申請;10名以上;全行削除;出席者情報;添付ファイル;エラー;操作マニュアル,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx,申請者,0.95,飲食費申請にて申請できない,"東日本フード　いわき営業部　佐藤政志様

飲食費申請で10名を超えたときに添付ファイルに内容を記載中、
全行削除と表示されているため、削除を実施したが、
入力してくださいと表示され先に進めない。","【対応内容(一次)】
2025/2/13　12:55　筒井
担当者へエスカレーションを実施

【対応内容(二次)】
お電話したのですが、不在でしたのでメールにて回答いたしました。
intra-mart飲食費申請で出席者が10名以上の場合、出席者情報の削除とファイルの添付が必要となります。

①出席者情報の削除
出席者情報の一番左に表示されています番号を右クリックすると、削除が表示されますので
明細行を全て削除いただければ申請可能かと思います。

②ファイルの添付
出席者情報の下に表示されている添付ファイルへ出席者情報が記載されたファイルのアップロードをお願いいたします。

（参考）操作マニュアル
202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx (sharepoint.com)"
intra-martの飲食費申請で純社外の人数を編集できない場合はどうすればよいですか？,「得意先及び業界団体主催の会費制の懇親会に参加する場合はチェック」のチェックボックスにチェックが入っていると、純社外の人数が編集できません。チェックを外すと編集できるようになります。詳細はintra-martの窓口に掲載されているNH経理財務部までお問い合わせください。申請画面の「お知らせ」ボタンからマニュアルやQ＆Aページもご参照いただけます。,質問,intra-mart;飲食費申請;純社外;人数編集;チェックボックス;懇親会;NH経理財務部;操作方法,intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com),申請者,0.95,【メール対応】intra-martの飲食費申請で純社外の人数を編集できない,"※受信時刻：17:37
ーーーーーーーーーーーーーーーーーーーーーーー
広報部で純社外の方を含む飲食費申請を実施して、結果申請をしようとしたのですが、
純社外の人数の所が編集できず、何か方法無いか？確認させて下さい。
※出席者情報には社外の方の氏名を8名分入れています。

<画像：intra-mart画面（飲食費申請）>","【対応内容(一次)】
フロー名：飲食費申請
 → IM運用台帳>社外開発分：以下を確認
・PJ名：飲食費・ゴルフ関係費申請DB
・QSCloudエスカレーション先：マイグレ保守(intra-mart)

ご担当者様、メールを添付しました、ご対応お願いできますでしょうか。

【対応内容(二次)】
以下メールしました。

ーーーーーーーーーーーーーーー
「純社外」の人数が入力できないのは、「得意先及び業界団体主催の会費制の懇親会に参加する場合はチェック」の
チェックボックスにチェックが入っているためです。
チェックを外していただくと、「純社外」の人数が入力できるようになります。

また、飲食費申請の入力内容につきましては、お問合せ先がNH経理財務部となりますので
intra-martの窓口に掲載されておりますお問合せ先へご連絡いただけますと幸いです。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)

申請画面の「お知らせ」ボタンを押下いただきますと、マニュアルやQ＆Aのページを開くことができます。"
intra-martの飲食費・ゴルフ関係費申請で『自社』の項目に「1名以上入力してください」というエラーが表示される場合の対処法は？,現状、飲食費・ゴルフ関係費申請で自社を0人で申請する方法はありません。申請方法についてはNH経理財務部にお問い合わせください。なお、今後の改修で自社0人を許容する対応が予定されています。,トラブル,intra-mart;飲食費申請;ゴルフ関係費申請;エラー;自社;1名以上入力してください;NH;申請方法,,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請にて「1名以上入力してください」のエラーとなる,"飲食費・ゴルフ関係費申請にて、国内食肉第二事業部のグループ会社であるホワイトファームで入力する際に、
自社（NH）のユーザーがおらず『自社』の項目で「1名以上入力してください」のエラーとなる。","【対応内容(一次)】
申請者は梅原様か→ × ホワイトファームの田中社長とのこと

フロー名：飲食費・ゴルフ関係費申請
申請者：田中.雄一郎 様 /日本ホワイトファーム_管理本部/tanaka
困りごと：飲食費・ゴルフ関係費申請にて、自社（NH）のユーザーがおらず、
　　　　  『自社』の項目で「1名以上入力してください」のエラーとなる。

担当部署へ連携させていただく旨お伝え。ご連絡は梅原様宛てを希望される。

※ご担当者様、お手数をおかけしますがご確認いただけますでしょうか。

【対応内容(二次)】
2025/04/16 10:55 板﨑対応

担当者へエスカレーション。
--------------------------------------

自己解決されていました。

【予定していた回答】
現状、自社を0人で申請する方法はありません。
申請方法につきましてはオーナーのNH経理財務部_山中様へご連絡ください。
※補足ですが、五次改修の要望で、結果申請以降、自社0人を許容するという対応があります。"
intra-martの飲食費・ゴルフ関係費申請DBを利用するために、特別な設定や申請は必要ですか？,intra-martの飲食費申請・ゴルフ関係費申請はNHGのどのユーザでも利用できるため、ユーザ申請の際に特別な設定や申請は不要です。,質問,intra-mart;飲食費申請;ゴルフ関係費申請;DB;NHG;ユーザ;設定;申請,,申請者,0.95,飲食費・ゴルフ関係費申請DBを使用したい,飲食費・ゴルフ関係費申請DBを使用したいのですが、intra-martのユーザ以外に必要でしょうか。,"【対応内容(一次)】
2026/3/11　筒井　担当者へエスカレーション
折り返し連絡する旨を案内しましたのでご連絡をお願いいたします。

【対応内容(二次)】
intra-martの飲食費申請・ゴルフ関係費申請はNHGのどのユーザでも利用できるため、ユーザ申請の際に特別な設定・申請は不要である旨お伝え。
→ユーザ了承し、終話"
intra-martの飲食費・ゴルフ関係費申請DBで、ユーザCDが廃止された場合にPDF出力する方法を教えてください,代理元承認者や承認者の方も案件を開いてPDF出力が可能です。案件一覧から処理済（完了案件）を選択し、詳細画面で印刷を行ってください。,質問,intra-mart;飲食費申請;ゴルフ関係費申請;申請DB;ユーザCD廃止;PDF出力;代理承認者;案件一覧,,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBについて,"【intra-mart】飲食費・ゴルフ関係費申請DBについて、３．１６で担当であった「吉野 琢郎」様が関東ＮＦに異動になり、ＮＨ本体時代のintra-martのユーザCDが廃止になった。

飲食費・ゴルフ関係費申請をPDF出力してもらおうと思ったが、NH本体時代のユーザCDが廃止されているため、出力してもらうこともできない。


吉野 琢郎 様
NH本体時代のユーザCD：009910088013　※３．１６で廃止済
関東NFのユーザCD：0950950137","【対応内容(一次)】
飲食費・ゴルフ関係費申請DBのNHSS担当者を確認し、担当者から折り返すことをお伝え
　⇒NHSS_ノーツマイグレーション推進G　蛭子本さん

【対応内容(二次)】
代理元承認者か承認者の方も案件を開いてPDF出力可能なためご案内しました。

案件一覧　＞処理済（完了案件）　＞詳細　＞印刷"
飲食費・ゴルフ関係費申請がノーツからイントラマートに移行した場合、権限委譲の方法を教えてください。,飲食費・ゴルフ関係費申請も通常のワークフロー代理設定で問題ありません。操作マニュアルをご参照ください。,質問,飲食費申請;ゴルフ関係費申請;ノーツ;イントラマート;権限委譲;ワークフロー代理設定;操作方法;申請DB,操作マニュアル,申請者,0.95,飲食費・ゴルフ関係費 申請の権限委譲の方法について,"2024/10/30 14:36 今津対応

渋谷様より、下記の通り問合せあり。
--------------------------------------
いつも大変お世話になっております。

飲食費・ゴルフ関係費 申請がノーツからイントラマートに移行するに当たり、
権限委譲の方法を教えて頂けないでしょうか？

山中さんのメールにある通り、ワークフロー代理設定から以下の３つの権限を変更すれば大丈夫でしょうか？
ご確認の程お願い致します。","【対応内容(一次)】
2024/10/30 14:36 今津対応

飲食費・ゴルフ関係費申請DBのアプリ担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
飲食ゴルフも通常のワークフロー代理設定で問題ないことをお伝えして、操作マニュアルをお送りいたしました。"
イントラマートで所属組織を変更した場合、飲食・ゴルフ申請の承認経路も自動的に変更されますか？,飲食・ゴルフ申請は申請書画面上で承認者を設定する仕様のため、イントラマートで所属組織を変更してもシステム側で承認者が自動的に変更されることはありません。,質問,イントラマート;所属変更;飲食申請;ゴルフ申請;承認経路;承認者設定;稟議;システム仕様,,申請者,0.95,飲食ゴルフ申請の承認経路について,"イントラマートでの所属変更を申請をすることで、
稟議や交際費申請の承認経路が変わるという認識でよろしいでしょうか。","【対応内容(一次)】
稟議については稟議書担当が回答。

飲食・ゴルフ申請は申請書画面上で承認者を設定する仕様のため、intra-martで所属組織を変更してもシステム側で承認者が変更されることはない旨ご回答。

【対応内容(二次)】
nan"
intra-martの飲食ゴルフ関係費申請フローで申請者が退職した場合、申請や承認を別の人に設定する方法を教えてください。,退職者のアカウントが有効であれば、代理設定で代わりに申請・承認することが可能です。フロー画面から名前をクリックし、処理対象者状況確認で名前が表示されていればアカウントは有効です。ワークフロー代理設定の方法はintra-martの窓口にマニュアルが掲載されています。アカウントが無効の場合は、一時的にアカウントを復活させて代理設定を行うことも可能です。アカウントの登録については、intra-martの窓口に掲載されている申請者へご連絡ください。,質問,intra-mart;飲食ゴルフ関係費申請;ワークフロー;代理設定;退職者;アカウント;申請者変更;承認者変更,intra-martワークフロー代理設定マニュアル,申請者,0.95,【intra-mart】飲食費申請の申請者が退職の場合,"*********************************
【問い合わせ内容】
・フロー名：飲食ゴルフ関係費申請
・ワークフローでのお困り事（問合せ内容）：
フロー（「これから結果申請をします」という状態）で、竹永さんという人が退職したそうで、この竹永さんを別の人に設定できないか　という相談が来てるんですが、一回走ってしまっているフローで、かつボールが退職した人の所に来ている場合は、どうしようもないですよね？
このデータは使えないので、新規データで申請してもらうよう、お伝えする予定です。
*********************************","【対応内容(一次)】
退職者（竹永さん）のアカウントがまだ有効でしたら、代理設定で代わりに申請・承認することが可能です。
上記画面（フロー）から名前をクリックしていただき、処理対象者状況確認で名前が表示されたらまだ有効です。

ワークフロー代理設定の方法については、intra-martの窓口にマニュアルを掲載しております。

また、アカウントが無効で、他にも申請中の案件があり処理できない場合は、アカウントを一時的に復活させて代理設定を行っていただくことも可能です。
アカウントの登録（ユーザ申請）については、会社ごとで担当者が決まっておりますので、intra-martの窓口に掲載されている申請者へご連絡いただければ対応していただける可能性があります。

【対応内容(二次)】
nan"
intra-martの飲食申請で事前申請の承認者を誤って設定した場合、承認者を正しい人に変更する方法を教えてください。,結果申請ノードで承認者の変更はできません。また、結果申請ノードになると事前申請ノードまで戻すこともできないため、申請書を新たに作成し直す必要があります。運用上の他の方法があるかは担当部門にご確認ください。,質問,intra-mart;飲食申請;承認者変更;事前申請;結果申請;申請書;操作方法;申請フロー,,申請者,0.95,【intra-mart】飲食申請の承認者を変更したい,"飲食申請をあげていたが、事前申請の承認者を誤ってあげてしまった。
承認者もすでに承認しており、その後、結果申請しようとしたところ承認者が違うと発覚した。
承認者を本来の人に変更したいが、改めて上げ直すのか事前申請画面で修正ができるのか、
変更方法を教えて欲しい。","【対応内容(一次)】
管理No：20251021-00010B
申請者：岡島.大志様
フロー名：
9910_NH直轄・コーポレート直轄 ＞ NH経理財務部 ＞ 飲食費・ゴルフ関係費申請 ＞ 飲食費申請

担当より連絡させていただくとお伝え。

【対応内容(二次)】
結果申請ノードで承認者変更不可・結果申請ノードになると事前申請ノードまで戻すことができないため、申請書をあげ直す対応になると思われる。
しかし、他に運用されている方法があるかもしれないので、オーナーの山中様にご連絡いただきたい旨お伝え。山中様のご連絡をお伝え。
⇒お問合せ者様了承し、終話。"
